,Benefício Relativo,Penalidade Relativa,Valor Total,Valor(%),Custo Relativo,Custo(%),Risco Relativo,Risco(%),Prioridade
2,5,9,18.5,6.016260162601626,4,3.3057851239669422,2,1.6260162601626016,1.1444274028629857
1,3,9,16.5,5.365853658536586,4,3.3057851239669422,2,1.6260162601626016,1.0207055214723928
10,4,6,13.0,4.227642276422764,3,2.479338842975207,2,1.6260162601626016,0.9542007885956931
11,6,8,18.0,5.853658536585366,4,3.3057851239669422,5,4.065040650406504,0.7152709359605911
16,8,2,11.0,3.5772357723577235,4,3.3057851239669422,2,1.6260162601626016,0.6804703476482618
12,7,6,16.0,5.203252032520325,5,4.132231404958677,6,4.878048780487805,0.521060422554165
13,4,5,11.5,3.7398373983739837,4,3.3057851239669422,4,3.252032520325203,0.5188292319164802
9,4,2,7.0,2.2764227642276422,2,1.6528925619834711,3,2.4390243902439024,0.49706572769953056
19,2,5,9.5,3.089430894308943,4,3.3057851239669422,3,2.4390243902439024,0.495687796463993
8,7,8,19.0,6.178861788617886,7,5.785123966942149,7,5.691056910569106,0.4898263555981677
6,7,4,13.0,4.227642276422764,5,4.132231404958677,5,4.065040650406504,0.4692020879940343
3,6,9,19.5,6.341463414634147,6,4.958677685950414,9,7.317073170731708,0.4615610328638498
17,7,7,17.5,5.691056910569106,7,5.785123966942149,7,5.691056910569106,0.4511558538404176
15,7,6,16.0,5.203252032520325,6,4.958677685950414,7,5.691056910569106,0.4414044687642499
23,3,2,6.0,1.951219512195122,2,1.6528925619834711,3,2.4390243902439024,0.426056338028169
5,8,3,12.5,4.065040650406504,5,4.132231404958677,6,4.878048780487805,0.40707845512044144
22,3,6,12.0,3.902439024390244,6,4.958677685950414,5,4.065040650406504,0.39672131147540984
4,4,7,14.5,4.715447154471545,7,5.785123966942149,7,5.691056910569106,0.37381485032491746
14,3,3,7.5,2.4390243902439024,5,4.132231404958677,3,2.4390243902439024,0.3455168475157053
21,2,5,9.5,3.089430894308943,4,3.3057851239669422,6,4.878048780487805,0.3372946009389671
7,8,5,15.5,5.040650406504065,8,6.6115702479338845,9,7.317073170731708,0.32748384843722717
18,5,4,11.0,3.5772357723577235,6,4.958677685950414,7,5.691056910569106,0.30346557227542176
24,8,1,9.5,3.089430894308943,7,5.785123966942149,8,6.504065040650406,0.22733115791555425
20,2,1,3.5,1.1382113821138211,6,4.958677685950414,5,4.065040650406504,0.1157103825136612
